s.NameOnSampleWithAnon	PublicID	Metagenome_sample_accession	i.TwinID
A37192	TUK47149212		A13782
A13488	TUK51933782	SAMEA5814139	A10412
A65336	TUK47455002	SAMEA5814179	A10592
A99560	TUK11340402		A14212
A96718	TUK57517301		A13141
A20258	TUK58419392		A9332
A76266	TUK22032041	SAMEA5814837	A14261
A15471	TUK78744832		A10422
A14138	TUK82564032		A11632
A32550	TUK92874952		A13842
A11044	TUK39765071		A9891
A45255	TUK53048941		A13291
A80513	TUK77684671		A11891
A22103	TUK22032042	SAMEA5814838	A14262
A63500	TUK93917711		A9911
A18605	TUK96253421		NA96891
A24176	TUK24589251		A10651
A44317	TUK88626971		A9481
A18664	TUK93821921		A13251
A26711	TUK74661972		A13112
A84958	TUK85363072		A13772
A31706	TUK53048942		A13292
A99602	TUK77684672		A11892
A74088	TUK86239811		A12061
A14792	TUK96253422		NA96892
A43110	TUK64776742		A12492
A23593	TUK93821922		A13252
A12915	TUK52149422		A9442
A16954	TUK77876901	SAMEA5814475	NA55751
A18516	TUK97507501		A14071
A14125	TUK56294461		NA16261
A15741	TUK86239812		A12062
A24502	TUK42446242	SAMEA5814020	A9782
A99647	TUK82166882		NA58042
A91241	TUK44373452	SAMEA5814005	NA14892
A11267	TUK88626972		A9482
A84693	TUK72851412		A12972
A12212	TUK52149421		A9441
A17899	TUK77876902		NA55752
A88532	TUK97507502		A14072
A74523	TUK42828451		A9811
A11156	TUK62295151		NA58561
A49391	TUK64311432		A9752
A87946	TUK89005991		NA68241
A15488	TUK30433271		A13881
A65882	TUK16835231		A9631
A27286	TUK86079091		NA99291
A97259	TUK47446122		A9072
A19836	TUK82206851		A11411
A34976	TUK42828452		A9812
A67397	TUK56294462	SAMEA5814018	NA16262
A83538	TUK62295152		NA58562
A21178	TUK89005992	SAMEA5814632	NA68242
A17204	TUK30433272	SAMEA5814751	A13882
A16761	TUK81870862		A13172
A40650	TUK99427981		A12991
A11554	TUK20734981		NA58811
A12621	TUK60555331		A14081
A77708	TUK21223621	SAMEA5814166	A10551
A21276	TUK17853282	SAMEA5814510	NA58572
A87932	TUK51933781		A10411
A14329	TUK16835232		A9632
A14468	TUK47653711		A13871
A41354	TUK33398011		A11611
A18766	TUK47446121		A9071
A27040	TUK90064641	SAMEA5814543	NA59491
A77923	TUK62569132		A12692
A18128	TUK13500332		A9982
A14647	TUK28682802		NA30802
A59963	TUK23780282		A12932
A18530	TUK34064452		NA21502
A35299	TUK21273751		A10111
A17212	TUK20503262	SAMEA5814559	A11582
A97720	TUK45508521	SAMEA5814009	A9731
A26872	TUK53786742		A9882
A95956	TUK18417931	SAMEA5814629	A11931
A11859	TUK89026551		A13361
A98570	TUK15770921		NA26901
A18251	TUK97487531		NA91371
A26733	TUK48711151		A11621
A13450	TUK77238212		NA96922
A79004	TUK54643112	SAMEA5814160	NA30212
A89305	TUK89643782	SAMEA5814672	A13032
A27605	TUK85872262	SAMEA5814098	A10152
A11530	TUK96393422		A9932
A20688	TUK30291441		A11111
A50777	TUK43271592		A10342
A58315	TUK32352651		A10011
A68890	TUK82252901		NA971
