s.NameOnSampleWithAnon	PublicID	Metagenome_sample_accession	i.TwinID
NA57222	TUK73154672		NA57222
NA17441	TUK33915541	SAMEA5814041	NA17441
NA52351	TUK82913271	SAMEA5814387	NA52351
NA4881	TUK38254891	SAMEA5813945	NA4881
NA30671	TUK64049481	SAMEA5814174	NA30671
NA1591	TUK44981151	SAMEA5813896	NA1591
NA52702	TUK61072762	SAMEA5814406	NA52702
NA5842	TUK84452382		NA5842
NA23991	TUK71415761		NA23991
NA90111	TUK83809361		NA90111
NA60181	TUK22675101	SAMEA5814560	NA60181
NA55301	TUK83477331		NA55301
NA26881	TUK70520191		NA26881
NA90112	TUK83809362		NA90112
NA26882	TUK70520192		NA26882
NA65441	TUK30146001	SAMEA5814598	NA65441
NA32121	TUK84734351		NA32121
NA1162	TUK28870902	SAMEA5813882	NA1162
NA73651	TUK71092071		NA73651
NA56081	TUK14067011		NA56081
NA81161	TUK82687001		NA81161
NA58991	TUK49060371		NA58991
NA32122	TUK84734352	SAMEA5814197	NA32122
NA65861	TUK73851581		NA65861
NA20861	TUK22494321		NA20861
NA30222	TUK92628202		NA30222
NA81562	TUK28029632	SAMEA5814655	NA81562
NA58962	TUK78844782	SAMEA5814518	NA58962
NA1891	TUK25125291		NA1891
NA20362	TUK60607212		NA20362
NA91331	TUK65525651		NA91331
NA52462	TUK80960372		NA52462
NA14662	TUK88287962		NA14662
NA22992	TUK45770682	SAMEA5814109	NA22992
NA67311	TUK17249031		NA67311
NA50662	TUK35329362	SAMEA5814312	NA50662
NA60811	TUK38788771		NA60811
NA59031	TUK99222851		NA59031
NA57672	TUK92753352	SAMEA5814492	NA57672
NA80972	TUK93875852	SAMEA5814646	NA80972
NA16971	TUK37670271	SAMEA5814033	NA16971
NA14442	TUK77199722		NA14442
NA24001	TUK28948031	SAMEA5814128	NA24001
NA1971	TUK77835131		NA1971
NA16972	TUK37670272	SAMEA5814034	NA16972
NA4681	TUK93207971	SAMEA5813942	NA4681
NA9732	TUK97263282		NA9732
NA64331	TUK92228381		NA64331
NA98832	TUK53817312		NA98832
NA20752	TUK32378152	SAMEA5814062	NA20752
NA30791	TUK23224161	SAMEA5814182	NA30791
NA32592	TUK19978682		NA32592
NA51582	TUK58237482	SAMEA5814349	NA51582
NA90462	TUK11967282	SAMEA5814696	NA90462
NA99362	TUK33632062		NA99362
NA20312	TUK75879272		NA20312
NA23381	TUK35365211	SAMEA5814115	NA23381
NA54172	TUK18794262		NA54172
NA70821	TUK62352081		NA70821
NA32212	TUK89375922		NA32212
NA91181	TUK54938821	SAMEA5814705	NA91181
NA75481	TUK29135841		NA75481
NA59452	TUK43924952		NA59452
NA91822	TUK72236192		NA91822
NA91391	TUK83083531	SAMEA5814714	NA91391
NA52461	TUK80960371		NA52461
NA56082	TUK14067012	SAMEA5814479	NA56082
NA58461	TUK49334821	SAMEA5814506	NA58461
NA58432	TUK68456002	SAMEA5814504	NA58432
NA95671	TUK98004131	SAMEA5814801	NA95671
NA55331	TUK40554651		NA55331
NA65862	TUK73851582		NA65862
NA50712	TUK81019912	SAMEA5814315	NA50712
NA81162	TUK82687002	SAMEA5814651	NA81162
NA32361	TUK69041911	SAMEA5814206	NA32361
NA91421	TUK56221571	SAMEA5814715	NA91421
NA54222	TUK25406922	SAMEA5814449	NA54222
NA33252	TUK76868062	SAMEA5814241	NA33252
NA32832	TUK44584512	SAMEA5814219	NA32832
NA58462	TUK49334822	SAMEA5814507	NA58462
NA51722	TUK60617542	SAMEA5814357	NA51722
NA93941	TUK90371811	SAMEA5814753	NA93941
NA91821	TUK72236191	SAMEA5814723	NA91821
NA2252	TUK40190132	SAMEA5813905	NA2252
NA60512	TUK17992222	SAMEA5814573	NA60512
NA94242	TUK27637192	SAMEA5814771	NA94242
NA53862	TUK54871322	SAMEA5814439	NA53862
NA65442	TUK30146002		NA65442
NA50711	TUK81019911		NA50711
NA54312	TUK14504662		NA54312
NA54001	TUK75697501	SAMEA5814443	NA54001
NA59072	TUK42014432	SAMEA5814525	NA59072
NA14741	TUK61554931		NA14741
NA30691	TUK68379941	SAMEA5814176	NA30691
NA98452	TUK10722452		NA98452
NA57112	TUK89789502		NA57112
NA15851	TUK25021031	SAMEA5814014	NA15851
NA52241	TUK93957721	SAMEA5814382	NA52241
NA54201	TUK92698441		NA54201
NA14671	TUK40911721	SAMEA5813999	NA14671
NA58431	TUK68456001	SAMEA5814503	NA58431
NA54061	TUK48300741	SAMEA5814446	NA54061
NA52892	TUK10451942	SAMEA5814411	NA52892
NA32771	TUK49285791	SAMEA5814216	NA32771
NA54002	TUK75697502	SAMEA5814444	NA54002
NA2271	TUK58158051		NA2271
NA86322	TUK20832912		NA86322
NA7002	TUK67884692		NA7002
NA34551	TUK15096931	SAMEA5814289	NA34551
NA30822	TUK74429182	SAMEA5814185	NA30822
NA33061	TUK50611081	SAMEA5814232	NA33061
NA24191	TUK21098701	SAMEA5814132	NA24191
NA58571	TUK17853281	SAMEA5814509	NA58571
NA15852	TUK25021032	SAMEA5814015	NA15852
NA52242	TUK93957722	SAMEA5814383	NA52242
NA55021	TUK87602771		NA55021
NA30692	TUK68379942	SAMEA5814177	NA30692
NA32862	TUK91060072		NA32862
NA92451	TUK89241081		NA92451
NA6551	TUK32163191	SAMEA5813953	NA6551
NA91372	TUK97487532	SAMEA5814712	NA91372
NA15462	TUK99446112		NA15462
NA94031	TUK82381371		NA94031
NA92101	TUK95451671	SAMEA5814733	NA92101
A47736	TUK50174791	SAMEA5813872	NA781
A62513	TUK37411862		A2081
A76878	TUK98244251	SAMEA5814428	NA53551
A28196	TUK80670261	SAMEA5814029	A831
A47393	TUK92753351	SAMEA5814491	NA57671
A22234	TUK92753352	SAMEA5814492	NA57672
A79825	TUK43866061		A3491
A63572	TUK82072691		A2001
A96017	TUK15937972	SAMEA5814278	A1442
A70553	TUK15937971	SAMEA5814277	A1441
A29004	TUK77303572		NA81202
A87846	TUK77962421	SAMEA5814652	A3132
A46263	TUK61270711		A2572
A56618	TUK82292712		A2741
A47444	TUK94992811	SAMEA5814763	A3631
A21249	TUK97258722	SAMEA5813893	NA1572
A90649	TUK18097172	SAMEA5813849	A22
A87592	TUK93130831		NA20851
A14489	TUK50174792	SAMEA5813873	NA782
A94881	TUK29680941		A3512
A38996	TUK31610491		A2291
A73659	TUK13830002		A3372
A59615	TUK65538552	SAMEA5814542	NA59472
A83415	TUK63619932	SAMEA5814648	NA81032
A10297	TUK57875521		NA731
A50834	TUK80670262	SAMEA5814030	A832
A33288	TUK33089632		A2471
A94693	TUK67934872		A2912
A20919	TUK65538551	SAMEA5814541	NA59471
A14467	TUK76447262		A431
A25436	TUK36495742	SAMEA5814296	A1471
A31714	TUK43251381		A1171
A42988	TUK13830001		A3371
A96947	TUK43251382		A1172
A73799	TUK77303571		NA81201
A71841	TUK97014482		A501
A35503	TUK50477772		A3461
A26652	TUK81140291		A711
A40400	TUK67934871		A2911
A66357	TUK98004131	SAMEA5814801	NA95671
A43212	TUK31610492		A2292
A72155	TUK59429041	SAMEA5814436	NA53821
A60672	TUK81140292		A712
A89098	TUK88769191		A2062
A42556	TUK42086312	SAMEA5814671	A3231
A49718	TUK88609852		A2972
A30677	TUK85343811		A1941
A89225	TUK43866062		A3492
A39802	TUK58947722	SAMEA5814486	NA57432
A18434	TUK43510362	SAMEA5814476	NA55912
A10489	TUK70485061	SAMEA5814534	A2151
A33943	TUK18097171	SAMEA5813848	A21
A70842	TUK58947721	SAMEA5814485	NA57431
A31986	TUK10859071		A2941
A88496	TUK88580101		A3471
A92645	TUK97014481		A502
A18647	TUK15500732	SAMEA5814284	NA34442
A55381	TUK80625911	SAMEA5814656	NA81711
A28820	TUK59429042	SAMEA5814437	NA53822
A30718	TUK16857481	SAMEA5814125	A1132
A63265	TUK36495741	SAMEA5814295	A1472
A80554	TUK75450941	SAMEA5814155	NA30191
A48265	TUK88769192		A2061
A86020	TUK94992812	SAMEA5814764	A3632
A68895	TUK42086311	SAMEA5814670	A3232
A43297	TUK18161011		A3062
A43800	TUK50477771		A3462
A98230	TUK74005192		A2502
A50614	TUK70485062	SAMEA5814535	A2152
A24705	TUK92782822	SAMEA5814690	A3501
A90981	TUK37411861		A2082
A39072	TUK88609851		A2971
A18183	TUK29680942	SAMEA5814691	A3511
A75859	TUK30354291		A3362
A13694	TUK16857482	SAMEA5814126	A1131
A71761	TUK15500731	SAMEA5814283	NA34441
A98498	TUK87900591	SAMEA5814848	NA99611
A30342	TUK49539702	SAMEA5814300	NA50292
A15981	TUK90754882		A1031
A56288	TUK26150931	SAMEA5813950	A392
A82800	TUK43958522		A2952
A27618	TUK92850232		NA53432
A15917	TUK76204851		A2561
A64841	TUK49539701	SAMEA5814299	NA50291
A89918	TUK70096502	SAMEA5813947	A352
A49963	TUK80868341	SAMEA5814077	A981
A25295	TUK63319161		A3321
A49349	TUK70096501	SAMEA5813946	A351
A13358	TUK98004132	SAMEA5814802	NA95672
A91078	TUK88805572		A2731
A91938	TUK90521721		A2632
A48337	TUK77276911		A2661
A29235	TUK90716892		A92
A72540	TUK90521722		A2631
A84953	TUK85343812		A1942
A60347	TUK57590541	SAMEA5813959	A451
A15586	TUK77814751	SAMEA5814335	NA51271
A45476	TUK50237972		A2612
A61154	TUK14470862		A1202
A29770	TUK20708972	SAMEA5813856	NA262
A31302	TUK43642922		A1071
A16123	TUK80625912	SAMEA5814657	NA81712
A18873	TUK74970041	SAMEA5814344	NA51511
A18368	TUK97857071	SAMEA5814103	NA22861
A19795	TUK43958521		A2951
A76965	TUK80868342	SAMEA5814078	A982
A10970	TUK50237971		A2611
A75688	TUK77814752		NA51272
A25103	TUK59865642		A2871
A14571	TUK60035571	SAMEA5813984	NA10641
A98375	TUK63249651	SAMEA5814274	NA34221
A99281	TUK76644582		A2811
A21463	TUK85113371		A2682
A89125	TUK82292711		A2742
A20758	TUK97857072		NA22862
A72713	TUK63319162		A3322
A95615	TUK97258721	SAMEA5813892	NA1571
A74021	TUK54734451	SAMEA5814073	NA21281
A70545	TUK32075882		A961
A15483	TUK14593892		NA10602
A11269	TUK93130832		NA20852
A30961	TUK43510361		NA55911
A66104	TUK90754881		A1032
A48521	TUK52646111	SAMEA5814846	NA99601
A20531	TUK66384782	SAMEA5814832	A3782
A14109	TUK57875522		NA732
A67041	TUK93207972		NA4682
A89013	TUK50596241		A2861
A93773	TUK92498582		A2792
A10674	TUK16715102		A271
A49283	TUK14470861		A1201
A36473	TUK30354292		A3361
A75927	TUK60035572		NA10642
A41530	TUK74970042	SAMEA5814345	NA51512
A14910	TUK20708971	SAMEA5813855	NA261
A17367	TUK93431581		A421
A15349	TUK19124201	SAMEA5813917	A241
A28821	TUK76204852		A2562
A17099	TUK13308091	SAMEA5814617	NA66891
A47735	TUK43642921		A1072
A91859	TUK88805571		A2732
A51830	TUK58941281		A3652
A72224	TUK93431582		A422
A16827	TUK15628731		NA90611
A20764	TUK66492312		A1022
A17357	TUK85113372		A2681
A64745	TUK25850592		A902
A82771	TUK57590542	SAMEA5813960	A452
A52451	TUK76843541		A771
A72794	TUK85362981	SAMEA5814391	NA52471
A44994	TUK16848491	SAMEA5814236	NA33141
A96455	TUK10946601		A641
A70797	TUK44476532		A851
A11287	TUK76936622	SAMEA5814813	A3701
A17278	TUK13504132		A2521
A49664	TUK79048092	SAMEA5814529	NA59152
A46111	NA		\N
A48821	TUK19124202	SAMEA5813918	A242
A18046	TUK25850591		A901
A53290	TUK98244252	SAMEA5814429	NA53552
A98355	TUK13504131		A2522
A64598	TUK49901862	SAMEA5814823	A3742
A28015	TUK63962161	SAMEA5813894	A151
A80135	TUK15628732	SAMEA5814702	NA90612
A86864	TUK44476531		A852
A75799	TUK79048091	SAMEA5814528	NA59151
A77211	TUK59865641		A2872
A44606	TUK85362982	SAMEA5814392	NA52472
A75835	TUK16848492	SAMEA5814237	NA33142
A26924	TUK13308092	SAMEA5814618	NA66892
A60890	TUK16715101		A272
A97744	TUK54719541		A3022
A96111	TUK41735781	SAMEA5814619	NA66981
A92276	TUK40418652		A782
A71741	TUK37965002		A3282
A60066	TUK84723761	SAMEA5814660	A3182
A65189	TUK27432401		A2982
A99515	TUK83276151		A2692
A10115	TUK71356302	SAMEA5814570	NA60462
A17657	TUK51388891	SAMEA5814776	A3641
A78651	TUK86364442		A2992
A11949	TUK35648851		A381
A50662	TUK46282512		A1932
A14385	TUK83607971		A2381
A27068	TUK49427001	SAMEA5814210	A1341
A41531	TUK60392651		A2552
A25416	TUK35363502	SAMEA5813898	NA1792
A83751	TUK41665851	SAMEA5814172	A1282
A16793	TUK35285781		A1811
A63403	TUK21893632		A2642
A76967	TUK71247822	SAMEA5814390	NA52452
A45961	TUK36511692		A3001
A19183	TUK46878141		A2761
A66659	TUK53857332	SAMEA5813920	NA3242
A20560	TUK82381371		NA94031
A29191	TUK78844781	SAMEA5814517	NA58961
A63656	TUK17547651	SAMEA5814625	A2452
A13686	TUK83276152		A2691
A64895	TUK46878142		A2762
A33708	TUK60392652		A2551
A17494	TUK46437352	SAMEA5813916	NA3092
A10042	TUK85639972	SAMEA5814677	A3301
A98022	TUK48663491	SAMEA5814680	A3482
A75855	TUK33178671	SAMEA5814743	A3602
A76926	TUK53857331	SAMEA5813919	NA3241
A23009	TUK46282511	SAMEA5814458	A1931
A35909	TUK26279931		A1061
A22969	TUK92523811	SAMEA5814400	A1711
A11370	TUK71846782		A3261
A89533	TUK91001751	SAMEA5814816	A3712
A96586	TUK37119362		A3382
A43761	TUK28791822		NA30602
A71600	TUK56740931		A2961
A41141	TUK15581702	SAMEA5814667	A3212
A98811	TUK51388892	SAMEA5814777	A3642
A19472	TUK35285782		A1812
A86607	TUK49427002	SAMEA5814211	A1342
A12397	TUK11801081		A3331
A21890	TUK79868532		A292
A97929	TUK22587092	SAMEA5814124	A1122
A14964	TUK62705802	SAMEA5814665	A3201
A73944	TUK55586462		A3152
A99684	TUK92523812	SAMEA5814401	A1712
A61324	TUK62705801	SAMEA5814664	A3202
A10558	TUK53686272	SAMEA5814827	A3761
A33029	TUK71846781		A3262
A49792	TUK91950181	SAMEA5814091	NA22121
A48411	TUK89450932		A2702
A35635	TUK83607972		A2382
A67293	TUK81225781	SAMEA5814048	A881
A76527	TUK86364441		A2991
A18229	TUK35648852		A382
A55827	TUK22871512		A2591
A65369	TUK91001752	SAMEA5814817	A3711
A17980	TUK84723762	SAMEA5814661	A3181
A51398	TUK62229561	SAMEA5814591	A2311
A54245	TUK37119361		A3381
A67384	TUK17935901	SAMEA5813866	NA561
A69249	TUK46532131	SAMEA5814820	A3732
A78240	TUK83589041		A2882
A97584	TUK81225782	SAMEA5814049	A882
A30992	TUK47986792	SAMEA5814643	A3091
A14989	TUK66492311		A1021
A84573	TUK70830802	SAMEA5813889	NA1382
A74200	TUK28791821	SAMEA5814169	NA30601
A84884	TUK87676931	SAMEA5814464	A1982
A25152	TUK21192722		A2752
A62322	TUK41665852	SAMEA5814173	A1281
A82880	TUK31069482		A3532
A30650	TUK68507271	SAMEA5814700	A3541
A10573	TUK21131182	SAMEA5814633	A2491
A46655	TUK72799972		A3431
A31520	TUK22599192	SAMEA5814636	A2601
A16988	TUK87676932	SAMEA5814465	A1981
A19573	TUK55899192		A3142
A89837	TUK32077942		A372
A97321	TUK83477951		A2802
A40572	TUK70830801	SAMEA5813888	NA1381
A76083	TUK67776361	SAMEA5814674	A3291
A21715	TUK17935902	SAMEA5813867	NA562
A79197	TUK67776362	SAMEA5814675	A3292
A92256	TUK79304161		A512
A58358	TUK70456831	SAMEA5814668	A3222
A48608	TUK54719542		A3021
A93514	TUK85639971	SAMEA5814676	A3302
A24448	TUK46532132	SAMEA5814821	NA96982
A42540	TUK57953681		A3041
A17069	TUK17155211	SAMEA5814795	NA95501
A12940	TUK58941282		A3651
A83230	TUK64049482	SAMEA5814175	\N
A50373	TUK77962422	SAMEA5814653	A3131
A28582	TUK70456832	SAMEA5814669	A3221
A48921	TUK31069481	SAMEA5814697	A3531
A89454	TUK70764061		A3392
A54238	TUK83477952		A2801
A25090	TUK76936621	SAMEA5814812	A3702
A34042	TUK90406141		A1791
A11015	TUK96730842	SAMEA5813971	A521
A57178	TUK11316792	SAMEA5814708	A3582
A13420	TUK18208412		A3241
A46381	TUK12389741	SAMEA5814644	A3102
A56870	TUK96730841		A522
A17048	TUK21192721		A2751
A68497	TUK55641492	SAMEA5813886	A111
A77897	TUK52934642		A2922
A21147	TUK89450931		A2701
A64223	TUK26487731	SAMEA5814662	A3191
A81276	TUK40418651		A781
A21432	TUK27432402		A2981
A17370	TUK10871831	SAMEA5814828	NA98001
A47527	TUK57953682		A3042
A33709	TUK21131181		A2492
A54887	TUK27982411	SAMEA5814797	NA95611
A18113	TUK63520932	SAMEA5814756	NA93952
A68597	TUK29974901		A361
A95746	TUK26487732	SAMEA5814663	A3192
A11180	TUK55586461		A3151
A10391	TUK22494321		NA20861
A15369	TUK71356301	SAMEA5814569	NA60461
A75643	TUK97520912		A211
A13899	TUK55899191		A3141
A94597	TUK27982412	SAMEA5814798	NA95612
A67928	TUK62229562	SAMEA5814592	A2312
A66425	TUK83589042		A2881
A83422	TUK68507272	SAMEA5814701	A3542
A27272	TUK53686271	SAMEA5814826	A3762
A48005	TUK79304162		A511
A88373	TUK90406142		A1792
A15059	TUK46658971		A2481
A77322	TUK77276912		A2662
A20547	TUK46658972		A2482
A50862	TUK82418151	SAMEA5814818	NA96731
A23865	TUK82418152	SAMEA5814819	NA96732
A61557	TUK41735782	SAMEA5814620	NA66982
A16664	TUK25436521	SAMEA5814782	NA94531
A31543	TUK82381372		NA94032
A74974	TUK42265151		NA72421
A73709	TUK25436522	SAMEA5814783	NA94532
A90993	TUK22869222		A2932
A42523	TUK37965001		A3281
A83433	TUK71247821	SAMEA5814389	NA52451
A50028	TUK22869221		A2931
A55689	TUK17547652	SAMEA5814626	A2451
A17310	TUK38804002	SAMEA5813877	A81
A54492	TUK17155212	SAMEA5814796	NA95502
A76646	TUK72799971		A3432
A20217	TUK38804001	SAMEA5813876	A82
A18341	TUK28746701	SAMEA5814736	NA92261
A28699	TUK32077941		A371
A53541	TUK22599191	SAMEA5814635	A2602
A98708	TUK43037482	SAMEA5814825	NA97052
A33496	TUK82929001		A3011
A28966	TUK44743842	SAMEA5813851	NA202
A34665	TUK23043341	SAMEA5813913	NA2891
A72555	TUK82929002		A3012
A75619	TUK55641491	SAMEA5813885	A112
A31071	TUK64049481	SAMEA5814174	NA30671
A90695	TUK71920012		A3032
A69574	TUK23043342	SAMEA5813914	NA2892
A67490	TUK62375241	SAMEA5813845	NA61
A30643	TUK52934641		A2921
A12782	TUK71920011		A3031
A41397	TUK18208411		A3242
A13324	TUK62375242	SAMEA5813846	NA62
A36543	TUK55112641		A3421
A14456	TUK70764062		A3391
A83713	TUK46437351	SAMEA5813915	NA3091
A54995	TUK21804612		A762
A12705	TUK14215491	SAMEA5813932	A311
A80249	TUK14215492	SAMEA5813933	A312
A80938	TUK66788472		A742
A13984	TUK40057971		A301
A41801	TUK40057972		A302
A32881	TUK80841472		A571
A17169	TUK65802511		A661
A89083	TUK54595622		A402
A20344	TUK39151052	SAMEA5813924	A281
A58870	TUK39151051	SAMEA5813923	A282
A81349	TUK24260602	SAMEA5813989	A682
A33458	TUK23317972		A2712
A17538	TUK11967281	SAMEA5814695	NA90461
A15202	TUK11967282	SAMEA5814696	NA90462
A73906	TUK96915362		NA9312
A29387	TUK52158851		A2782
A72259	TUK56888502		NA9932
A28481	TUK51945811	SAMEA5814088	A1002
A11356	TUK97918031		A731
A14945	TUK88702961		A721
A98465	TUK23816751		A3412
A15493	TUK99682491	SAMEA5814117	A1081
A35459	TUK47911932		A891
A14277	TUK59682231		A3571
A78798	TUK23816752		A3411
A18955	TUK17872631	SAMEA5814119	A1092
A39289	TUK57364241	SAMEA5814487	A2042
A68851	TUK97918032		A732
A85694	TUK38708812		A3342
A70642	TUK88702962		A722
A15841	TUK52158852		A2781
A95824	TUK56888501		NA9931
A19094	TUK37670272	SAMEA5814034	NA16972
A32538	TUK14593252	SAMEA5814150	A1211
A67116	TUK83093811		A701
A84124	TUK32816001		A922
A11995	TUK71959521	SAMEA5813966	A481
A19894	TUK81230272	SAMEA5814268	NA33982
A18237	TUK18000452		A2461
A42755	TUK18000451		A2462
A15649	TUK46870662	SAMEA5814087	A991
A55203	TUK42473742		A751
A13057	TUK21098701	SAMEA5814132	NA24191
A74876	TUK73525822	SAMEA5813935	A322
A93419	TUK57742831		A412
A79333	TUK45605081	SAMEA5814163	NA30341
A17476	TUK97930372		NA23932
A87107	TUK14593251	SAMEA5814149	A1212
A40963	TUK99682492	SAMEA5814118	A1082
A69689	TUK32816002		A921
A42149	TUK57742832		A411
A18469	TUK97930371		NA23931
A89465	TUK97833171		A3401
A94263	TUK97833172		A3402
A11725	TUK39769531	SAMEA5814129	NA24051
A51981	TUK39769532	SAMEA5814130	NA24052
A55085	TUK62693712		A1491
A18027	TUK19966011	SAMEA5814340	NA51441
A95034	TUK62693711	SAMEA5814303	A1492
A85073	TUK24414371	SAMEA5814424	NA53351
A56928	TUK73287351	SAMEA5814046	A872
A41932	TUK47911931	SAMEA5814050	A892
A11177	TUK64929542	SAMEA5814394	A1691
A61240	TUK66788471		A741
A19237	TUK52859952	SAMEA5814323	NA50902
A13660	TUK93197631	SAMEA5814153	NA30161
A15328	TUK71393642	SAMEA5813958	A4472
A91466	TUK45170722	SAMEA5814399	A1702
A65342	TUK19966012	SAMEA5814341	NA51442
A58077	TUK45605082		NA30342
A76150	TUK46870661	SAMEA5814086	A992
A63715	TUK44427561		A912
A57524	TUK24260601	SAMEA5813988	A681
A16225	TUK44427562		A911
A10340	TUK82613471	SAMEA5814207	A1321
A20870	TUK49529892	SAMEA5814142	A1182
A61622	TUK88423941		A802
A33104	TUK73287352	SAMEA5814047	A871
A13915	TUK43084951	SAMEA5814403	NA52681
A80979	TUK51038872	SAMEA5814194	NA32062
A51553	TUK33381442	SAMEA5813998	A792
A32300	TUK75252711	SAMEA5814351	NA51601
A20788	TUK32412182	SAMEA5814409	NA52732
A69301	TUK99691382	SAMEA5814408	NA52722
A35927	TUK82654032		A3351
A48448	TUK57862661		A691
A65987	TUK93197632	SAMEA5814154	NA30162
A85754	TUK32378151	SAMEA5814061	NA20751
A77159	TUK63509742	SAMEA5814017	A822
A40998	TUK57486122	SAMEA5813975	A551
A17329	TUK87325421		A2831
A52993	TUK47898342		A621
A84345	TUK23224162	SAMEA5814183	NA30792
A61822	TUK39348432		NA52982
A66908	TUK77808362		A1621
A74387	TUK64929541	SAMEA5814393	A1692
A86311	TUK52859951	SAMEA5814322	NA50901
A96176	TUK97044932		A1381
A16936	TUK17872632	SAMEA5814120	A1091
A88322	TUK14891082		NA9522
A85007	TUK77808361		A1622
A51371	TUK72125782	SAMEA5814363	A1631
A46274	TUK31871492	SAMEA5813987	NA11012
A94797	TUK58237481	SAMEA5814348	NA51581
A29077	TUK49735331		NA52791
A14863	TUK98552631	SAMEA5814286	NA34491
A21123	TUK51945812	SAMEA5814089	A1001
A14308	TUK31871491	SAMEA5813986	NA11011
A50540	TUK30714371	SAMEA5814238	NA33191
A10187	TUK92725671	SAMEA5814412	NA52911
A97462	TUK43084952	SAMEA5814404	NA52682
A10475	TUK72045722		A601
A32511	TUK73525821	SAMEA5813934	A321
A18947	TUK23622162	SAMEA5813962	NA7032
A51132	TUK27154152		NA54632
A92562	TUK17262432	SAMEA5814622	A2421
A81200	TUK87325422		A2832
A53370	TUK26290951		NA54811
A24907	TUK26290952		NA54812
A79378	TUK33450571		A3312
A18539	TUK33450572		A3311
A61818	TUK61386682		NA52172
A16004	TUK27034521	SAMEA5814209	NA32451
A70729	TUK47898341		A622
A93389	TUK66319642		A2232
A13772	TUK10163291	SAMEA5814342	A1571
A39323	TUK46275151	SAMEA5814145	A1191
A15705	TUK61386681		NA52171
A54819	TUK32378152	SAMEA5814062	NA20752
A19386	TUK32412181		NA52731
A12515	TUK33381441	SAMEA5813997	A791
A58157	TUK42742262	SAMEA5814514	A2101
A75857	TUK55112642		A3422
A79326	TUK15420952	SAMEA5814523	NA59022
A71905	TUK35329362	SAMEA5814312	NA50662
A46784	TUK75252712	SAMEA5814352	NA51602
A89337	TUK23224161	SAMEA5814182	NA30791
A43552	TUK57486121	SAMEA5813974	A552
A84427	TUK83949771		A2652
A34768	TUK52697741		A3171
A66875	TUK66319641		A2231
A68898	TUK42473741		A752
A84778	TUK10163292	SAMEA5814343	A1572
A83591	TUK59029412		A2511
A11520	TUK62007372	SAMEA5814096	A1041
A12718	TUK92572141	SAMEA5814336	NA51331
A94477	TUK89198652		A2282
A18384	TUK22675101	SAMEA5814560	NA60181
A54945	TUK89198651		A2281
A87960	TUK92725672	SAMEA5814413	NA52912
A77891	TUK15420951	SAMEA5814522	NA59021
A45046	TUK39348431		NA52981
A53542	TUK22675102	SAMEA5814561	NA60182
A12754	TUK84924081		NA51731
A89906	TUK51038871	SAMEA5814193	NA32061
A37882	TUK11338351	SAMEA5814547	A2191
A29894	TUK43204341	SAMEA5814220	A1361
A81562	TUK27154151	SAMEA5814459	NA54631
A83083	TUK83949772		A2651
A14342	TUK82486652		A1961
A94984	TUK57862662		A692
A50220	TUK84924082	SAMEA5814358	NA51732
A92413	TUK23622161	SAMEA5813961	NA7031
A61470	TUK39268751		NA9721
A40413	TUK75697502	SAMEA5814444	NA54002
A19698	TUK49529891	SAMEA5814141	A1181
A20417	TUK13721822		A1901
A10259	TUK72496002	SAMEA5814457	NA54552
A14172	TUK62007371	SAMEA5814095	A1042
A43891	TUK35985661	SAMEA5813963	NA7041
A52193	TUK35985662	SAMEA5813964	NA7042
A89345	TUK91157412		A2201
A13986	TUK10547991		NA24471
A96984	TUK71137231		NA59381
A73556	TUK71137232		NA59382
A16758	TUK31935621		A2531
A59717	TUK31935622		A2532
A38663	TUK90305281	SAMEA5814427	A1841
A52165	TUK90305282		A1842
A67219	TUK55906442	SAMEA5814122	A1102
A19654	TUK27304502	SAMEA5814589	NA64322
A77333	TUK45563671		A2182
A53508	TUK61290401		A2441
A66680	TUK35321862	SAMEA5814609	NA66142
A85800	TUK99298281		A2021
A70903	TUK43204342	SAMEA5814221	A1362
A54766	TUK80841471		A572
A87604	TUK68456001	SAMEA5814503	NA58431
A99377	TUK82486651		A1962
A88736	TUK62560721		A1722
A36786	TUK35321861	SAMEA5814608	NA66141
A11593	TUK55117422	SAMEA5814168	NA30572
A82329	TUK72496001	SAMEA5814456	NA54551
A76761	TUK97307481	SAMEA5814432	NA53611
A79348	TUK21109731		A2122
A35838	TUK72206442		A2671
A76885	TUK22352451	SAMEA5814375	NA52131
A71303	TUK57061932	SAMEA5814597	A2331
A20768	TUK35329361	SAMEA5814311	NA50661
A63719	TUK44584512	SAMEA5814219	NA32832
A77563	TUK36875621		NA76961
A92224	TUK26344001		A14342
A58709	TUK45563672		A2181
A25002	TUK60094031		A2351
A15116	TUK79429862		A101
A17309	TUK13926742	SAMEA5814045	A862
A80849	TUK71736872	SAMEA5814581	A2272
A13973	TUK71736871	SAMEA5814580	A2271
A73976	TUK13990021	SAMEA5814553	A2212
A89457	TUK88480062		A3452
A77146	TUK84602192	SAMEA5814571	A2251
A83206	TUK61290402		A2442
A66708	TUK12830691	SAMEA5814623	A2432
A60377	TUK54821911		A2581
A14780	TUK17282791		A2011
A41630	TUK72206441		A2672
A88830	TUK42742261		A2102
A69789	TUK92066362		A2342
A53746	TUK22468342		A3251
A99343	TUK87668501	SAMEA5814614	NA66761
A95405	TUK19043111	SAMEA5814468	A6231
A19111	TUK19043112	SAMEA5814469	A6232
A39055	TUK11467951		A4761
A17874	TUK11467952		A4762
